ID,PARENT_ID,URI,FILE_PATH,NAME,METHOD,STATUS,SIZE,TYPE,EXT,LAST_MODIFIED,EXTENSION_MISMATCH,NO_HASH,FORMAT_COUNT,PUID,MIME_TYPE,FORMAT_NAME,FORMAT_VERSION
1,,file://Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/,/Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data,PKG-text-data,,Done,,Folder,,2026-03-04T12:23:03-07:00,false,,,,,,
2,1,file://Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/2014-01-31_JA-africa.tsv,/Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/2014-01-31_JA-africa.tsv,2014-01-31_JA-africa.tsv,Extension,Done,3773660,File,tsv,2024-01-18T10:06:17-07:00,FALSE,,1,x-fmt/13,text/tab-separated-values,Tab-separated Values,
3,1,file://Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/2014-01-31_JA-america.tsv,/Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/2014-01-31_JA-america.tsv,2014-01-31_JA-america.tsv,Extension,Done,7731914,File,tsv,2024-01-18T10:06:17-07:00,FALSE,,1,x-fmt/13,text/tab-separated-values,Tab-separated Values,
4,1,file://Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/2014-02-02_JA-britain.tsv,/Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/2014-02-02_JA-britain.tsv,2014-02-02_JA-britain.tsv,Extension,Done,1453418,File,tsv,2024-01-18T10:06:17-07:00,FALSE,,1,x-fmt/13,text/tab-separated-values,Tab-separated Values,
5,1,file://Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/201403160_01_text.json,/Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/201403160_01_text.json,201403160_01_text.json,Extension,Done,392407,File,json,2024-01-18T10:06:17-07:00,FALSE,,1,fmt/817,application/json,JSON Data Interchange Format,
6,1,file://Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/33504-0.txt,/Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/33504-0.txt,33504-0.txt,Extension,Done,586635,File,txt,2024-01-18T10:06:17-07:00,FALSE,,1,x-fmt/111,text/plain,Plain Text File,
7,1,file://Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/829-0.txt,/Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/829-0.txt,829-0.txt,Extension,Done,602147,File,txt,2024-01-18T10:06:17-07:00,FALSE,,1,x-fmt/111,text/plain,Plain Text File,
8,1,file://Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/animals.csv,/Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/animals.csv,animals.csv,Extension,Done,155,File,csv,2024-01-18T10:06:17-07:00,FALSE,,1,x-fmt/18,text/csv,Comma Separated Values,
9,1,file://Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/doaj-article-sample.txt,/Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/doaj-article-sample.txt,doaj-article-sample.txt,Extension,Done,524687,File,txt,2024-01-18T10:06:17-07:00,FALSE,,1,x-fmt/111,text/plain,Plain Text File,
10,1,file://Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/little-women.txt,/Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/little-women.txt,little-women.txt,Extension,Done,1032418,File,txt,2026-03-04T12:23:00-07:00,FALSE,,1,x-fmt/111,text/plain,Plain Text File,
11,1,file://Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/michigan-newspapers.json,/Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/michigan-newspapers.json,michigan-newspapers.json,Extension,Done,52980,File,json,2024-01-18T10:06:17-07:00,FALSE,,1,fmt/817,application/json,JSON Data Interchange Format,
12,1,file://Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/pg1342.txt,/Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/pg1342.txt,pg1342.txt,Extension,Done,757241,File,txt,2024-01-18T10:06:17-07:00,FALSE,,1,x-fmt/111,text/plain,Plain Text File,
13,1,file://Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/pg514.txt,/Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/pg514.txt,pg514.txt,Extension,Done,1032418,File,txt,2024-01-18T10:06:17-07:00,FALSE,,1,x-fmt/111,text/plain,Plain Text File,
14,1,file://Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/tr,/Users/jajohnst/Documents/teaching/2026-1-SI-667-digital-curation/si667-2026/PKG-text-data/tr,tr,,empty source,0,File,,2024-01-18T10:06:17-07:00,FALSE,,0,,,,
